=== PROJECT MIGRATION AUDIT REPORT ===

---------------------------------------------------------------------------------------------------
Project Name                             | Location Name             | Complaints | Current    | New Status     
Cochin Dry Dock                          | Dining Area               | 0          | Active     | Active         
Cochin Dry Dock                          | Kitchen Area              | 0          | Active     | Active         
Cochin Dry Dock                          | Toilet Block A            | 0          | Active     | Active         
Cochin Dry Dock                          | Toilet Block B            | 0          | Active     | Active         
Cochin Dry Dock                          | Water Tank Area           | 0          | Active     | Active         
Control Building at BARC Tarapur         | Accommodation Block 1     | 1          | Active     | Active         
Control Building at BARC Tarapur         | Accommodation Block 2     | 0          | Active     | Active         
Control Building at BARC Tarapur         | Camp A                    | 0          | Active     | Active         
Control Building at BARC Tarapur         | Camp B                    | 0          | Active     | Active         
Control Building at BARC Tarapur         | Camp C                    | 0          | Active     | Active         
Control Building at BARC Tarapur         | Dining Area               | 0          | Active     | Active         
Control Building at BARC Tarapur         | Kitchen Area              | 0          | Active     | Active         
Control Building at BARC Tarapur         | Toilet Block A            | 0          | Active     | Active         
Control Building at BARC Tarapur         | Toilet Block B            | 0          | Active     | Active         
Control Building at BARC Tarapur         | Water Tank Area           | 0          | Active     | Active         
DMRC DC09                                | Accommodation Block 1     | 0          | Active     | Active         
DMRC DC09                                | Accommodation Block 2     | 0          | Active     | Active         
DMRC DC09                                | Camp A                    | 0          | Active     | Active         
DMRC DC09                                | Camp B                    | 0          | Active     | Active         
DMRC DC09                                | Camp C                    | 1          | Active     | Active         
DMRC DC09                                | Dining Area               | 0          | Active     | Active         
DMRC DC09                                | Kitchen Area              | 0          | Active     | Active         
DMRC DC09                                | Toilet Block A            | 0          | Active     | Active         
DMRC DC09                                | Toilet Block B            | 0          | Active     | Active         
DMRC DC09                                | Water Tank Area           | 0          | Active     | Active         
Dibang                                   | Accommodation Block 1     | 0          | Active     | Active         
Dibang                                   | Accommodation Block 2     | 0          | Active     | Active         
Dibang                                   | Camp A                    | 1          | Active     | Active         
Dibang                                   | Camp B                    | 0          | Active     | Active         
Dibang                                   | Camp C                    | 0          | Active     | Active         
Dibang                                   | Dining Area               | 0          | Active     | Active         
Dibang                                   | Kitchen Area              | 0          | Active     | Active         
Dibang                                   | Toilet Block A            | 0          | Active     | Active         
Dibang                                   | Toilet Block B            | 0          | Active     | Active         
Dibang                                   | Water Tank Area           | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Accommodation Block 1     | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Accommodation Block 2     | 1          | Active     | Active         
Ethihad Rail - Sharjah University        | Camp A                    | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Camp B                    | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Camp C                    | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Dining Area               | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Kitchen Area              | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Toilet Block A            | 0          | Active     | Active         
Ethihad Rail - Sharjah University        | Toilet Block B            | 1          | Active     | Active         
Ethihad Rail - Sharjah University        | Water Tank Area           | 0          | Active     | Active         
GHAVP                                    | Accommodation Block 1     | 0          | Active     | Active         
GHAVP                                    | Accommodation Block 2     | 0          | Active     | Active         
GHAVP                                    | Camp A                    | 0          | Active     | Active         
GHAVP                                    | Camp B                    | 0          | Active     | Active         
GHAVP                                    | Camp C                    | 0          | Active     | Active         
GHAVP                                    | Dining Area               | 0          | Active     | Active         
GHAVP                                    | Kitchen Area              | 1          | Active     | Active         
GHAVP                                    | Toilet Block A            | 0          | Active     | Active         
GHAVP                                    | Toilet Block B            | 0          | Active     | Active         
GHAVP                                    | Water Tank Area           | 0          | Active     | Active         
Gandhi Sagar                             | Accommodation Block 1     | 0          | Active     | Active         
Gandhi Sagar                             | Accommodation Block 2     | 0          | Active     | Active         
Gandhi Sagar                             | Camp A                    | 0          | Active     | Active         
Gandhi Sagar                             | Camp B                    | 0          | Active     | Active         
Gandhi Sagar                             | Camp C                    | 0          | Active     | Active         
Gandhi Sagar                             | Dining Area               | 0          | Active     | Active         
Gandhi Sagar                             | Kitchen Area              | 0          | Active     | Active         
Gandhi Sagar                             | Toilet Block A            | 1          | Active     | Active         
Gandhi Sagar                             | Toilet Block B            | 0          | Active     | Active         
Gandhi Sagar                             | Water Tank Area           | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Accommodation Block 1     | 1          | Active     | Active         
High Speed Rail C4-Section 1             | Accommodation Block 2     | 1          | Active     | Active         
High Speed Rail C4-Section 1             | Camp A                    | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Camp B                    | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Camp C                    | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Dining Area               | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Kitchen Area              | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Toilet Block A            | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Toilet Block B            | 0          | Active     | Active         
High Speed Rail C4-Section 1             | Water Tank Area           | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Accommodation Block 1     | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Accommodation Block 2     | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Camp A                    | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Camp B                    | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Camp C                    | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Dining Area               | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Kitchen Area              | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Toilet Block A            | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Toilet Block B            | 0          | Active     | Active         
High Speed Rail C4-Section 2             | Water Tank Area           | 0          | Active     | Active         
